#tstp   Ax    Ay
341  -0.0391822  -0.0391822
342  -0.0374985  -0.0374985
343  -0.0357458  -0.0357458
344  -0.0339228  -0.0339228
345  -0.0320282  -0.0320282
346  -0.0300606  -0.0300606
347  -0.0280188  -0.0280188
348  -0.0259014  -0.0259014
349  -0.023707  -0.023707
350  -0.0214343  -0.0214343
351  -0.0190821  -0.0190821
352  -0.0166489  -0.0166489
353  -0.0141333  -0.0141333
354  -0.0115341  -0.0115341
355  -0.00884992  -0.00884992
356  -0.00607932  -0.00607932
357  -0.00322099  -0.00322099
358  -0.000273571  -0.000273571
359  0.0027643  0.0027643
360  0.00589398  0.00589398
361  0.00911682  0.00911682
362  0.0124342  0.0124342
363  0.0158474  0.0158474
364  0.0193579  0.0193579
365  0.0229669  0.0229669
366  0.0266758  0.0266758
367  0.030486  0.030486
368  0.0343987  0.0343987
369  0.0384154  0.0384154
370  0.0425372  0.0425372
371  0.0467657  0.0467657
372  0.0511019  0.0511019
373  0.0555473  0.0555473
374  0.0601032  0.0601032
375  0.0647707  0.0647707
376  0.0695512  0.0695512
377  0.0744459  0.0744459
378  0.0794561  0.0794561
379  0.084583  0.084583
380  0.0898278  0.0898278
381  0.0951918  0.0951918
382  0.100676  0.100676
383  0.106282  0.106282
384  0.11201  0.11201
385  0.117862  0.117862
386  0.123839  0.123839
387  0.129942  0.129942
388  0.136172  0.136172
389  0.14253  0.14253
390  0.149018  0.149018
391  0.155635  0.155635
392  0.162384  0.162384
393  0.169265  0.169265
394  0.176279  0.176279
395  0.183427  0.183427
396  0.19071  0.19071
397  0.198129  0.198129
398  0.205684  0.205684
399  0.213377  0.213377
400  0.221208  0.221208
401  0.229178  0.229178
402  0.237287  0.237287
403  0.245537  0.245537
404  0.253928  0.253928
405  0.262461  0.262461
406  0.271136  0.271136
407  0.279953  0.279953
408  0.288914  0.288914
409  0.298019  0.298019
410  0.307268  0.307268
411  0.316661  0.316661
412  0.326199  0.326199
413  0.335883  0.335883
414  0.345712  0.345712
415  0.355687  0.355687
416  0.365808  0.365808
417  0.376075  0.376075
418  0.386488  0.386488
419  0.397047  0.397047
420  0.407753  0.407753
421  0.418604  0.418604
422  0.429602  0.429602
423  0.440746  0.440746
424  0.452036  0.452036
425  0.463472  0.463472
426  0.475052  0.475052
427  0.486778  0.486778
428  0.498648  0.498648
429  0.510662  0.510662
430  0.52282  0.52282
431  0.535121  0.535121
432  0.547565  0.547565
433  0.56015  0.56015
434  0.572876  0.572876
435  0.585743  0.585743
436  0.598748  0.598748
437  0.611893  0.611893
438  0.625175  0.625175
439  0.638594  0.638594
440  0.652148  0.652148
441  0.665837  0.665837
442  0.679658  0.679658
443  0.693612  0.693612
444  0.707696  0.707696
445  0.72191  0.72191
446  0.736251  0.736251
447  0.750718  0.750718
448  0.765311  0.765311
449  0.780026  0.780026
450  0.794862  0.794862
451  0.809818  0.809818
452  0.824892  0.824892
453  0.840082  0.840082
454  0.855385  0.855385
455  0.870801  0.870801
456  0.886326  0.886326
457  0.901958  0.901958
458  0.917696  0.917696
459  0.933537  0.933537
460  0.949479  0.949479
461  0.965519  0.965519
462  0.981654  0.981654
463  0.997883  0.997883
464  1.0142  1.0142
465  1.03061  1.03061
466  1.0471  1.0471
467  1.06368  1.06368
468  1.08033  1.08033
469  1.09706  1.09706
470  1.11386  1.11386
471  1.13074  1.13074
472  1.14768  1.14768
473  1.16468  1.16468
474  1.18175  1.18175
475  1.19887  1.19887
476  1.21605  1.21605
477  1.23328  1.23328
478  1.25055  1.25055
479  1.26787  1.26787
480  1.28522  1.28522
481  1.30261  1.30261
482  1.32004  1.32004
483  1.33749  1.33749
484  1.35496  1.35496
485  1.37246  1.37246
486  1.38997  1.38997
487  1.4075  1.4075
488  1.42503  1.42503
489  1.44256  1.44256
490  1.4601  1.4601
491  1.47763  1.47763
492  1.49515  1.49515
493  1.51266  1.51266
494  1.53015  1.53015
495  1.54761  1.54761
496  1.56505  1.56505
497  1.58246  1.58246
498  1.59983  1.59983
499  1.61716  1.61716
500  1.63444  1.63444
501  1.65168  1.65168
502  1.66885  1.66885
503  1.68597  1.68597
504  1.70302  1.70302
505  1.72  1.72
506  1.73691  1.73691
507  1.75373  1.75373
508  1.77047  1.77047
509  1.78712  1.78712
510  1.80367  1.80367
511  1.82012  1.82012
512  1.83647  1.83647
513  1.8527  1.8527
514  1.86882  1.86882
515  1.88482  1.88482
516  1.90069  1.90069
517  1.91642  1.91642
518  1.93202  1.93202
519  1.94748  1.94748
520  1.96279  1.96279
521  1.97794  1.97794
522  1.99293  1.99293
523  2.00776  2.00776
524  2.02242  2.02242
525  2.03691  2.03691
526  2.05121  2.05121
527  2.06533  2.06533
528  2.07926  2.07926
529  2.09299  2.09299
530  2.10652  2.10652
531  2.11984  2.11984
532  2.13295  2.13295
533  2.14584  2.14584
534  2.1585  2.1585
535  2.17094  2.17094
536  2.18314  2.18314
537  2.19511  2.19511
538  2.20683  2.20683
539  2.21829  2.21829
540  2.22951  2.22951
541  2.24046  2.24046
542  2.25115  2.25115
543  2.26157  2.26157
544  2.27171  2.27171
545  2.28157  2.28157
546  2.29115  2.29115
547  2.30043  2.30043
548  2.30942  2.30942
549  2.31811  2.31811
550  2.32649  2.32649
551  2.33456  2.33456
552  2.34232  2.34232
553  2.34976  2.34976
554  2.35688  2.35688
555  2.36366  2.36366
556  2.37012  2.37012
557  2.37623  2.37623
558  2.38201  2.38201
559  2.38743  2.38743
560  2.39251  2.39251
561  2.39723  2.39723
562  2.4016  2.4016
563  2.4056  2.4056
564  2.40924  2.40924
565  2.4125  2.4125
566  2.41539  2.41539
567  2.4179  2.4179
568  2.42004  2.42004
569  2.42178  2.42178
570  2.42314  2.42314
571  2.42411  2.42411
572  2.42468  2.42468
573  2.42485  2.42485
574  2.42463  2.42463
575  2.424  2.424
576  2.42296  2.42296
577  2.42151  2.42151
578  2.41965  2.41965
579  2.41738  2.41738
580  2.41469  2.41469
581  2.41158  2.41158
582  2.40805  2.40805
583  2.40409  2.40409
584  2.39971  2.39971
585  2.39491  2.39491
586  2.38967  2.38967
587  2.384  2.384
588  2.3779  2.3779
589  2.37137  2.37137
590  2.3644  2.3644
591  2.35699  2.35699
592  2.34915  2.34915
593  2.34087  2.34087
594  2.33215  2.33215
595  2.323  2.323
596  2.3134  2.3134
597  2.30336  2.30336
598  2.29288  2.29288
599  2.28196  2.28196
600  2.27061  2.27061
601  2.25881  2.25881
602  2.24657  2.24657
603  2.23389  2.23389
604  2.22077  2.22077
605  2.20721  2.20721
606  2.19322  2.19322
607  2.17879  2.17879
608  2.16392  2.16392
609  2.14862  2.14862
610  2.13289  2.13289
611  2.11672  2.11672
612  2.10013  2.10013
613  2.0831  2.0831
614  2.06566  2.06566
615  2.04778  2.04778
616  2.02949  2.02949
617  2.01077  2.01077
618  1.99164  1.99164
619  1.97209  1.97209
620  1.95214  1.95214
621  1.93177  1.93177
622  1.911  1.911
623  1.88982  1.88982
624  1.86824  1.86824
625  1.84627  1.84627
626  1.82391  1.82391
627  1.80115  1.80115
628  1.77801  1.77801
629  1.75449  1.75449
630  1.7306  1.7306
631  1.70633  1.70633
632  1.68169  1.68169
633  1.65668  1.65668
634  1.63132  1.63132
635  1.6056  1.6056
636  1.57953  1.57953
637  1.55311  1.55311
638  1.52636  1.52636
639  1.49926  1.49926
640  1.47184  1.47184
641  1.4441  1.4441
642  1.41603  1.41603
643  1.38765  1.38765
644  1.35896  1.35896
645  1.32997  1.32997
646  1.30069  1.30069
647  1.27111  1.27111
648  1.24125  1.24125
649  1.21111  1.21111
650  1.1807  1.1807
651  1.15002  1.15002
652  1.11909  1.11909
653  1.0879  1.0879
654  1.05647  1.05647
655  1.0248  1.0248
656  0.992892  0.992892
657  0.960763  0.960763
658  0.928416  0.928416
659  0.895859  0.895859
660  0.863097  0.863097
661  0.830139  0.830139
662  0.796992  0.796992
663  0.763663  0.763663
664  0.730159  0.730159
665  0.696489  0.696489
666  0.662659  0.662659
667  0.628677  0.628677
668  0.594551  0.594551
669  0.560289  0.560289
670  0.525898  0.525898
671  0.491387  0.491387
672  0.456762  0.456762
673  0.422032  0.422032
674  0.387206  0.387206
675  0.35229  0.35229
676  0.317293  0.317293
677  0.282223  0.282223
678  0.247087  0.247087
679  0.211895  0.211895
680  0.176654  0.176654
681  0.141372  0.141372
682  0.106058  0.106058
683  0.0707187  0.0707187
684  0.0353634  0.0353634
685  -0  -0
686  -0.0353634  -0.0353634
687  -0.0707187  -0.0707187
688  -0.106058  -0.106058
689  -0.141372  -0.141372
690  -0.176654  -0.176654
691  -0.211895  -0.211895
692  -0.247087  -0.247087
693  -0.282223  -0.282223
694  -0.317293  -0.317293
695  -0.35229  -0.35229
696  -0.387206  -0.387206
697  -0.422032  -0.422032
698  -0.456762  -0.456762
699  -0.491387  -0.491387
700  -0.525898  -0.525898
701  -0.560289  -0.560289
702  -0.594551  -0.594551
703  -0.628677  -0.628677
704  -0.662659  -0.662659
705  -0.696489  -0.696489
706  -0.730159  -0.730159
707  -0.763663  -0.763663
708  -0.796992  -0.796992
709  -0.830139  -0.830139
710  -0.863097  -0.863097
711  -0.895859  -0.895859
712  -0.928416  -0.928416
713  -0.960763  -0.960763
714  -0.992892  -0.992892
715  -1.0248  -1.0248
716  -1.05647  -1.05647
717  -1.0879  -1.0879
718  -1.11909  -1.11909
719  -1.15002  -1.15002
720  -1.1807  -1.1807
721  -1.21111  -1.21111
722  -1.24125  -1.24125
723  -1.27111  -1.27111
724  -1.30069  -1.30069
725  -1.32997  -1.32997
726  -1.35896  -1.35896
727  -1.38765  -1.38765
728  -1.41603  -1.41603
729  -1.4441  -1.4441
730  -1.47184  -1.47184
731  -1.49926  -1.49926
732  -1.52636  -1.52636
733  -1.55311  -1.55311
734  -1.57953  -1.57953
735  -1.6056  -1.6056
736  -1.63132  -1.63132
737  -1.65668  -1.65668
738  -1.68169  -1.68169
739  -1.70633  -1.70633
740  -1.7306  -1.7306
741  -1.75449  -1.75449
742  -1.77801  -1.77801
743  -1.80115  -1.80115
744  -1.82391  -1.82391
745  -1.84627  -1.84627
746  -1.86824  -1.86824
747  -1.88982  -1.88982
748  -1.911  -1.911
749  -1.93177  -1.93177
750  -1.95214  -1.95214
751  -1.97209  -1.97209
752  -1.99164  -1.99164
753  -2.01077  -2.01077
754  -2.02949  -2.02949
755  -2.04778  -2.04778
756  -2.06566  -2.06566
757  -2.0831  -2.0831
758  -2.10013  -2.10013
759  -2.11672  -2.11672
760  -2.13289  -2.13289
761  -2.14862  -2.14862
762  -2.16392  -2.16392
763  -2.17879  -2.17879
764  -2.19322  -2.19322
765  -2.20721  -2.20721
766  -2.22077  -2.22077
767  -2.23389  -2.23389
768  -2.24657  -2.24657
769  -2.25881  -2.25881
770  -2.27061  -2.27061
771  -2.28196  -2.28196
772  -2.29288  -2.29288
773  -2.30336  -2.30336
774  -2.3134  -2.3134
775  -2.323  -2.323
776  -2.33215  -2.33215
777  -2.34087  -2.34087
778  -2.34915  -2.34915
779  -2.35699  -2.35699
780  -2.3644  -2.3644
781  -2.37137  -2.37137
782  -2.3779  -2.3779
783  -2.384  -2.384
784  -2.38967  -2.38967
785  -2.39491  -2.39491
786  -2.39971  -2.39971
787  -2.40409  -2.40409
788  -2.40805  -2.40805
789  -2.41158  -2.41158
